item_id,family,templates,status,evidence,mapped_admin,mapped_persisted,mapped_runtime,mapped_components
ppb-allow-quantity-changes,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/save-bundle.server.ts,yes,yes,yes,quantity controls
ppb-auto-select-browsed-product,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,initial selected products
ppb-bundle-banner-desktop-url,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,bundle banner
ppb-bundle-banner-mobile-url,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,bundle banner
ppb-bundle-level-css,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,all storefront components
ppb-variant-selector-enabled,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/usePpbModalAndTemplateController.ts,yes,yes,yes,product card variants
ppb-show-text-on-add-button,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,add button
ppb-max-qty-per-product,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,quantity controls
ppb-default-products-data,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/default-product-methods.js,yes,yes,yes,initial state
ppb-box-selection,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,box selection UI
ppb-bundle-cart-title,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,bundle cart header
ppb-bundle-cart-subtitle,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,bundle cart header
ppb-discount-display-override,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,discount badges
ppb-individual-selling-plan-selection,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/selection-data-methods.js,yes,yes,yes,subscription controls
ppb-validate-quantity-per-product,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/methods/selection-methods.js,yes,yes,yes,quantity controls
ppb-use-single-step-categories,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/assets/widgets/product-page/single-step-categories.js,yes,yes,yes,category navigator
ppb-preselected-product-variant-id,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,preselected variants
ppb-upsell-widget-enabled,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,upsell blocks
ppb-upsell-widget-display-mode,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,upsell blocks
ppb-upsell-widget-display-on,PPB,"GRID, LIST, VERTICAL_SLOTS, HORIZONTAL_SLOTS",DISCOVERED_CURRENT,app/routes/app/app.bundles.product-page-bundle.configure.$bundleId/handlers/parsers.ts,yes,yes,yes,upsell blocks
